 Last 100 training episodes: mean/median reward 0.00/0.00, min/max reward 0.00/0.00, success rate 0.00

 

Updates 1200, num timesteps 768640, FPS 162
 Last 100 training episodes: mean/median reward 0.00/0.00, min/max reward 0.00/0.00, success rate 0.00

Updates 1210, num timesteps 775040, FPS 162
 Last 100 training episodes: mean/median reward 0.00/0.00, min/max reward 0.00/0.00, success rate 0.00

Updates 1220, num timesteps 781440, FPS 162
 Last 100 training episodes: mean/median reward 0.00/0.00, min/max reward 0.00/0.00, success rate 0.00

Updates 1230, num timesteps 787840, FPS 163
 Last 100 training episodes: mean/median reward 0.00/0.00, min/max reward 0.00/0.00, success rate 0.00

Updates 1240, num timesteps 794240, FPS 163
 Last 100 training episodes: mean/median reward 0.00/0.00, min/max reward 0.00/0.00, success rate 0.00

Updates 1250, num timesteps 800640, FPS 163
 Last 100 training episodes: mean/median reward 0.00/0.00, min/max reward 0.00/0.00, success rate 0.00

Updates 1260, num timesteps 807040, FPS 163
 Last 100 training episodes: mean/median reward 0.00/0.00, min/max reward 0.00/0.00, success rate 0.00

Updates 1270, num timesteps 813440, FPS 163
 Last 100 training episodes: mean/median reward 0.01/0.00, min/max reward 0.00/1.00, success rate 0.01

Updates 1280, num timesteps 819840, FPS 162
 Last 100 training episodes: mean/median reward 0.01/0.00, min/max reward 0.00/1.00, success rate 0.01

Updates 1290, num timesteps 826240, FPS 162
 Last 100 training episodes: mean/median reward 0.01/0.00, min/max reward 0.00/1.00, success rate 0.01

 

Updates 1300, num timesteps 832640, FPS 162
 Last 100 training episodes: mean/median reward 0.01/0.00, min/max reward 0.00/1.00, success rate 0.01

Updates 1310, num timesteps 839040, FPS 162
 Last 100 training episodes: mean/median reward 0.01/0.00, min/max reward 0.00/1.00, success rate 0.01

Updates 1320, num timesteps 845440, FPS 162
 Last 100 training episodes: mean/median reward 0.01/0.00, min/max reward 0.00/1.00, success rate 0.01

Updates 1330, num timesteps 851840, FPS 162
 Last 100 training episodes: mean/median reward 0.01/0.00, min/max reward 0.00/1.00, success rate 0.01

Updates 1340, num timesteps 858240, FPS 162
