 Last 100 training episodes: mean/median reward 0.17/0.00, min/max reward 0.00/1.00, success rate 0.18

Updates 1510, num timesteps 967040, FPS 361
 Last 100 training episodes: mean/median reward 0.13/0.00, min/max reward 0.00/1.00, success rate 0.14

Updates 1520, num timesteps 973440, FPS 361
 Last 100 training episodes: mean/median reward 0.10/0.00, min/max reward 0.00/1.00, success rate 0.10

Updates 1530, num timesteps 979840, FPS 361
 Last 100 training episodes: mean/median reward 0.07/0.00, min/max reward 0.00/0.99, success rate 0.07

Updates 1540, num timesteps 986240, FPS 361
 Last 100 training episodes: mean/median reward 0.04/0.00, min/max reward 0.00/0.99, success rate 0.04

Updates 1550, num timesteps 992640, FPS 361
 Last 100 training episodes: mean/median reward 0.07/0.00, min/max reward 0.00/0.99, success rate 0.08

Updates 1560, num timesteps 999040, FPS 361
 Last 100 training episodes: mean/median reward 0.08/0.00, min/max reward 0.00/1.00, success rate 0.09

Updates 1570, num timesteps 1005440, FPS 361
 Last 100 training episodes: mean/median reward 0.15/0.00, min/max reward 0.00/1.00, success rate 0.16

Updates 1580, num timesteps 1011840, FPS 361
 Last 100 training episodes: mean/median reward 0.16/0.00, min/max reward 0.00/1.00, success rate 0.17

Updates 1590, num timesteps 1018240, FPS 361
 Last 100 training episodes: mean/median reward 0.21/0.00, min/max reward 0.00/1.00, success rate 0.23

 

Updates 1600, num timesteps 1024640, FPS 361
 Last 100 training episodes: mean/median reward 0.21/0.00, min/max reward 0.00/1.00, success rate 0.23

Updates 1610, num timesteps 1031040, FPS 361
 Last 100 training episodes: mean/median reward 0.17/0.00, min/max reward 0.00/1.00, success rate 0.18

Updates 1620, num timesteps 1037440, FPS 362
 Last 100 training episodes: mean/median reward 0.14/0.00, min/max reward 0.00/1.00, success rate 0.15

Updates 1630, num timesteps 1043840, FPS 362
 Last 100 training episodes: mean/median reward 0.12/0.00, min/max reward 0.00/1.00, success rate 0.13

Updates 1640, num timesteps 1050240, FPS 362
 Last 100 training episodes: mean/median reward 0.13/0.00, min/max reward 0.00/1.00, success rate 0.15

Updates 1650, num timesteps 1056640, FPS 362
 Last 100 training episodes: mean/median reward 0.13/0.00, min/max reward 0.00/1.00, success rate 0.15

Updates 1660, num timesteps 1063040, FPS 362
 Last 100 training episodes: mean/median reward 0.13/0.00, min/max reward 0.00/0.98, success rate 0.15

Updates 1670, num timesteps 1069440, FPS 362
 Last 100 training episodes: mean/median reward 0.13/0.00, min/max reward 0.00/0.99, success rate 0.14

Updates 1680, num timesteps 1075840, FPS 362
 Last 100 training episodes: mean/median reward 0.17/0.00, min/max reward 0.00/1.00, success rate 0.18

Updates 1690, num timesteps 1082240, FPS 362
 Last 100 training episodes: mean/median reward 0.17/0.00, min/max reward 0.00/1.00, success rate 0.18

 

Updates 1700, num timesteps 1088640, FPS 362
 Last 100 training episodes: mean/median reward 0.21/0.00, min/max reward 0.00/1.00, success rate 0.23

Updates 1710, num timesteps 1095040, FPS 362
 Last 100 training episodes: mean/median reward 0.17/0.00, min/max reward 0.00/1.00, success rate 0.18

Updates 1720, num timesteps 1101440, FPS 362
 Last 100 training episodes: mean/median reward 0.15/0.00, min/max reward 0.00/1.00, success rate 0.16

Updates 1730, num timesteps 1107840, FPS 362
 Last 100 training episodes: mean/median reward 0.09/0.00, min/max reward 0.00/0.94, success rate 0.10

Updates 1740, num timesteps 1114240, FPS 362
 Last 100 training episodes: mean/median reward 0.09/0.00, min/max reward 0.00/0.98, success rate 0.10

Updates 1750, num timesteps 1120640, FPS 362
 Last 100 training episodes: mean/median reward 0.13/0.00, min/max reward 0.00/1.00, success rate 0.15

Updates 1760, num timesteps 1127040, FPS 362
 Last 100 training episodes: mean/median reward 0.16/0.00, min/max reward 0.00/1.00, success rate 0.17

Updates 1770, num timesteps 1133440, FPS 362
 Last 100 training episodes: mean/median reward 0.18/0.00, min/max reward 0.00/1.00, success rate 0.20

Updates 1780, num timesteps 1139840, FPS 362
 Last 100 training episodes: mean/median reward 0.14/0.00, min/max reward 0.00/1.00, success rate 0.15

Updates 1790, num timesteps 1146240, FPS 362
 Last 100 training episodes: mean/median reward 0.13/0.00, min/max reward 0.00/1.00, success rate 0.15

 

Updates 1800, num timesteps 1152640, FPS 362
 Last 100 training episodes: mean/median reward 0.12/0.00, min/max reward 0.00/0.98, success rate 0.13

Updates 1810, num timesteps 1159040, FPS 362
 Last 100 training episodes: mean/median reward 0.13/0.00, min/max reward 0.00/0.98, success rate 0.15

